Gene1,Gene2,CC,p_value,Gene1_ID,Gene2_ID
SOX13,ZNF276,0.8595481768430945,0.02820474542494177,ENSG00000143842,ENSG00000158805
ZBTB48,ZNF276,0.9890753869824237,1.7836884355447268e-4,ENSG00000204859,ENSG00000158805
ETV3,ZNF276,0.9715228696449694,0.0012048737088366458,ENSG00000117036,ENSG00000158805
ARNT,ZNF276,0.9434990963468725,0.004698342780830754,ENSG00000143437,ENSG00000158805
RLF,ZNF276,0.8252838238202466,0.04312194285054663,ENSG00000117000,ENSG00000158805
ZBTB43,ZNF276,0.8901132011391741,0.01744921533282856,ENSG00000169155,ENSG00000158805
ZNF276,ZNF319,0.9549645932126325,0.002996611663995938,ENSG00000158805,ENSG00000166188
E2F4,ZNF276,0.929262188346621,0.007328776721357483,ENSG00000205250,ENSG00000158805
PHTF1,ZNF276,0.8310313583187049,0.04041354149558132,ENSG00000116793,ENSG00000158805
SFPQ,ZNF276,0.9640968178402359,0.0019104174419515066,ENSG00000116560,ENSG00000158805
CREB3,ZNF276,0.9390458513262164,0.005459877587679555,ENSG00000107175,ENSG00000158805
TFAM,ZNF276,0.9713929907457349,0.0012158360376681476,ENSG00000108064,ENSG00000158805
MTA1,ZNF276,0.9385784035855599,0.005543058817758723,ENSG00000182979,ENSG00000158805
E2F1,ZNF276,0.8755196215663067,0.022278612496871904,ENSG00000101412,ENSG00000158805
NFYC,ZNF276,0.9557939648693563,0.0028880671808336708,ENSG00000066136,ENSG00000158805
MLX,ZNF276,0.9613678137669988,0.0022098404974139653,NA,ENSG00000158805
STAT3,ZNF276,0.9125229639423853,0.011143650475955991,ENSG00000168610,ENSG00000158805
STAT5B,ZNF276,0.9653993641501357,0.0017750939919803509,NA,ENSG00000158805
NFATC3,ZNF276,0.864756243258643,0.02619944736710132,ENSG00000072736,ENSG00000158805
ZBTB8B,ZNF276,0.9042541815148544,0.013312029145971214,NA,ENSG00000158805
MYBL2,ZNF276,0.9550377954817484,0.0029869519600907914,ENSG00000101057,ENSG00000158805
ZNF276,ZNF511,0.9844698817497857,3.59904046830096e-4,ENSG00000158805,ENSG00000198546
SMARCE1,ZNF276,0.8844470124203523,0.019257279182528664,ENSG00000073584,ENSG00000158805
MAFK,ZNF276,0.9057211344837919,0.012913757665137297,ENSG00000198517,ENSG00000158805
YBX1,ZNF276,0.834249739419649,0.03893288253056662,ENSG00000065978,ENSG00000158805
ARNTL,ZNF276,0.8409182142009919,0.03594757932374492,ENSG00000133794,ENSG00000158805
NONO,ZNF276,0.9048985339645904,0.013136370699061296,ENSG00000147140,ENSG00000158805
ETV5,ZNF276,0.8738065956874345,0.022882362134487223,ENSG00000244405,ENSG00000158805
XBP1,ZNF276,0.8558566412997669,0.029668506316420058,ENSG00000100219,ENSG00000158805
MNT,ZNF276,0.8120749068097058,0.04965539465319408,ENSG00000070444,ENSG00000158805
ZNF276,ZNF639,0.8912839652857888,0.017086297320729645,ENSG00000158805,ENSG00000121864
