gene_id,gene_short_name,PS_cEpiblast,NP_Epiblast,Induced_5hrs,Induced_9hrs,Induced_12hrs,FC_0hrs,FC_5hrs,FC_9hrs,FC_12hrs,FC_PS,FC_NP
ENSGALG00000036587,LHX4,0.200037,0.778946,0.106075,0.321214,0.801413,0,2.184995983,0.661719778,16.32711145,1.354493378,1.577583396
ENSGALG00000036593,FOXC2,0.35435,1.3551,0.691545,1.59131,1.45199,1.045872647,1.990315293,0.648934218,0.872453823,1.532012953,0.367083567
ENSGALG00000036678,ETV4,20.8949,5.70002,26.3893,12.8132,9.05461,0.022105096,297.2547977,23.17834912,32.89379804,5.480025807,41.12004848
ENSGALG00000036725,ASCL3,0.606618,0.627492,0.282891,0.342889,0.186989,2.640101665,2.16421473,0.342889,0.476474291,0.773637916,0.457225716
ENSGALG00000036728,PRDM16,0.214489,0.276166,0.0635584,0.0577235,0.124948,4.567987866,0.33749854,0.186850981,0.530891632,2.016006692,9.305285999
ENSGALG00000036821,HSF1,35.566,28.0707,30.5843,33.5101,25.8939,1.005748047,1.375564451,1.368775989,1.109511914,0.897200128,0.850763911
ENSGALG00000036869,NKX2-2,0.0387031,0.159907,0.0719089,1.39382,0.473035,1.311762522,0.155753502,4.234861605,0.473035,0.107489203,0.434993254
ENSGALG00000037030,CREBL2,11.7019,16.8534,4.71965,7.33695,9.47548,1.200091108,1.222298765,1.48057601,2.091015818,1.441475733,1.334753615
ENSGALG00000037082,ASCL1,0.0660355,0.313488,0.0918019,0.0741187,0.180654,0.435623881,0.547570876,0.529396597,1.594474846,0.483804912,2.745824173
ENSGALG00000037094,POU4F2,0,0.0435515,0,0,0,1,0,0,0,0,0.053106728
ENSGALG00000037164,ZFHX4,0.0054262,0.819385,0.0100432,0.0608032,0.401157,1.95580094,0.439260144,1.058842788,4.541401714,0.645157455,7.124963044
ENSGALG00000037257,HLX,0,0.00481429,0,0.0261572,0,0.0140902,0,2.117666108,0,0,0.095415421
ENSGALG00000037261,RFXANK,18.9579,12.6849,12.4859,10.0159,13.2516,1.207818419,0.877434996,0.630640784,0.76338059,0.819783356,0.697049126
ENSGALG00000037262,HOXC8,0.0218882,0,0,0,0,1,0,0,0,0.0218882,0
ENSGALG00000037272,HOXD8,0,0,0,0,0,1,0,0,0,0,0
ENSGALG00000037310,EVX1,0.0537707,0.199852,0.199557,0.0604279,1.47459,0.654574883,0.199557,0.0604279,1.47459,0.322503584,4.301833508
ENSGALG00000037352,SOX14,0.21696,0.209139,1.34331,1.30183,1.01588,0.327800731,0.376148767,0.135516242,0.124769407,0.120928366,0.015684641
ENSGALG00000037437,EGR3,0.773071,0.377518,1.34174,2.25507,1.41442,0.741473013,1.509893859,1.005977686,0.714754231,1.506103738,0.505696348
ENSGALG00000037455,PBRM1,35.0918,40.2689,33.9864,34.2049,27.1628,1.001197538,1.08756828,1.427964899,1.26413865,0.996662814,1.471531465
ENSGALG00000037576,VSX1,0.904794,1.62275,0.607173,1.64571,1.23262,1.555563241,0.3433149,1.30956966,1.354600413,3.301276298,0.796879757
ENSGALG00000037619,HOXB6,0.0568484,0,0,0,0,0.139247,0,0,0,0.967232277,0
ENSGALG00000037632,NKX2-1,0,0.192526,0,0.322175,0.501773,0.0434674,0,0.322175,16.30234054,0,12.41750729
ENSGALG00000037687,GRHL2,5.97363,4.5674,20.1368,20.1568,11.9897,1.503024314,0.42318871,0.389638908,0.291346619,0.317927225,0.207939904
ENSGALG00000037695,OSR2,0.0799797,0.0440389,0.0494698,0,0.0974764,2.618203429,0.273229277,0,0.060829605,0.725636908,0.051672778
ENSGALG00000037698,ZFAT,0.795021,1.51117,1.50206,1.94494,1.55917,1.072440515,0.679489905,1.021008756,0.602384549,0.62208216,0.96706834
ENSGALG00000037777,MSC,0.0649811,0.0537509,0,0.146725,0.0799147,1,0,0.211722859,0.356800282,0.48357668,0.079937687
ENSGALG00000037787,MEF2D,3.86878,3.81941,5.16962,7.92364,5.81684,2.036687416,0.301778699,0.430078649,0.360993955,0.802912982,0.559821474
